№	Наименование ККН	ОКПД2	Детализация	Единица измерения ККН	Показатель (характеристика) товара	Требования к значениям показателей				Единица измерения характеристики	Категория	Код КТРУ	Код ККН	Товарная часть	Дата актуализации	Российский товар
					Объем накопителя встроенного вычислительного блока			"? 32; ? 64; ? 120"		ГБАЙТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Объем оперативной памяти встроенного вычислительного блока			"? 3; ? 4; ? 8"		ГБАЙТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Поддержка разрешения 3840х2160 пикселей (при 60 Гц)				Да	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Тип сенсорной технологии			"Емкостная; Инфракрасная; Оптическая; Резистивная"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Яркость экрана, кд/м2			"? 350; ? 400"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
1688	Интерактивная панель? тип 4	26.20.13.000	107	ШТ	Размер диагонали				? 85 и < 90	ДЮЙМ	Интерактивные панели	26.20.13.000-00000002	26.20.13.000-107	03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	Да
					Количество мегапикселей на экране, Мпиксель			"? 8; ? 4; ? 2"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Вес панели			"< 50; ? 50 и < 60; ? 60 и < 70; ? 70 и < 80; ? 80"		КГ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Толщина панели			"? 130; < 100; ? 100 и < 110; ? 110 и < 120; ? 120 и < 130"		ММ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Высота панели			"? 1300; < 1000; ? 1000 и < 1100; ? 1100 и < 1200; ? 1200 и < 1300"		ММ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Ширина панели			"? 1750; ? 1500 и < 1550; ? 1550 и < 1600; ? 1600 и < 1650; ? 1650 и < 1700; ? 1700 и < 1750"		ММ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Разрешение экрана по вертикали, пиксель			"? 2100; ? 2000"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Разрешение экрана по горизонтали, пиксель				? 3000	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Условия эксплуатации				В помещении	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Тип системы охлаждения дополнительного вычислительного блока			"Активное воздушное; Пассивное воздушное"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Тип системы охлаждения интерактивной панели			"Активное воздушное; Пассивное воздушное"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Версия оперативной памяти DDR дополнительного вычислительного блока			"? 4; ? 3"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Возможность игнорирования касаний экрана ладонью			"Да; Нет"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Возможность использования ладони в качестве инструмента стирания			"Да; Нет"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Возможность подключения к сети Ethernet беспроводным способом (Wi-Fi)			"Да; Нет"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Возможность подключения к сети Ethernet проводным способом			"Да; Нет"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Возможность удаленного включения			"Да; Нет"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Возможность удаленного управления и мониторинга через Ethernet			"Да; Нет"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Возможность удаленного управления и мониторинга через RS-232			"Да; Нет"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Встроенные функции распознавания объектов касания			"Да; Нет"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Количество HDMI входов на лицевой панели для подключения внешних устройств			"? 3; ? 2; ? 1; 0"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Количество встроенных портов Ethernet для подключения дополнительных устройств			"? 4; ? 2"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Количество входов аудиосигнала линейного уровня			"? 4; ? 3; ? 2; ? 1"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Количество входов аудиосигнала микрофонного уровня			"? 4; ? 3; ? 2; ? 1"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Количество выходов аудиосигнала			"? 4; ? 3; ? 2; ? 1"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Количество портов USB 3.0			"? 4; ? 3; ? 2; ? 1; 0"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Количество свободных портов USB 2.0 Type A			"? 4; ? 3; ? 2; ? 1; 0"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Количество точек касания				? 20	ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Наличие антибликового защитного стекла			"Да; Нет"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Наличие встроенного вычислительного блока				Да	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Наличие встроенной акустической системы				Да	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Наличие закаленного защитного стекла				Да	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Наличие интегрированного датчика освещенности для автоматической коррекции яркости подсветки			"Да; Нет"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Наличие крепления в комплекте			"Да; Нет"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Наличие пульта дистанционного управления в комплекте			"Да; Нет"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Объем накопителя встроенного вычислительного блока			"? 32; ? 64; ? 120"		ГБАЙТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Объем оперативной памяти встроенного вычислительного блока			"? 3; ? 4; ? 8"		ГБАЙТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Поддержка разрешения 3840х2160 пикселей (при 60 Гц)				Да	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Тип сенсорной технологии			"Емкостная; Инфракрасная; Оптическая; Резистивная"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
					Яркость экрана, кд/м2			"? 350; ? 400"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2025	
1689	Интерактивный стол тип 1	26.20.13.000	001	ШТ	Количество мегапикселей на экране, Мпиксель				? 2	-	Интерактивные столы	26.20.13.000-00000013	26.20.13.000-001	03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	
					Количество точек касания			"? 20; ? 18; ? 16; ? 14; ? 12; ? 10"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	
					Размер диагонали				? 30 и < 35	ДЮЙМ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	
					Наличие встроенной акустической системы				Да	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	
					Наличие разъемов для подключения внешних устройств				Да	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	
					Объем HDD			"? 512; ? 256; ? 128; ? 100"		ГБАЙТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	
					Объем оперативной памяти				? 4	ГБАЙТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	
					Распознавание движений и жестов			"Да; Нет"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	
1690	Интерактивный стол тип 2	26.20.13.000	002	ШТ	Количество мегапикселей на экране, Мпиксель				? 2	-	Интерактивные столы	26.20.13.000-00000011	26.20.13.000-002	03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	
					Количество точек касания			"? 20; ? 18; ? 16; ? 14; ? 12; ? 10"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	
					Размер диагонали				? 40 и < 45	ДЮЙМ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	
					Наличие встроенной акустической системы				Да	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	
					Наличие разъемов для подключения внешних устройств				Да	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	
					Объем HDD			"? 512; ? 256; ? 128; ? 100"		ГБАЙТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	
					Объем оперативной памяти				? 4	ГБАЙТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	
					Распознавание движений и жестов			"Да; Нет"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	
1691	Интерактивный стол тип 3	26.20.13.000	006	ШТ	Количество мегапикселей на экране, Мпиксель				? 2	-	Интерактивные столы	26.20.13.000-00000008	26.20.13.000-006	03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.10.2021	
					Количество точек касания			"? 20; ? 18; ? 16; ? 14; ? 12; ? 10"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.10.2021	
					Размер диагонали				? 55 и < 60	ДЮЙМ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.10.2021	
					Наличие встроенной акустической системы				Да	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.10.2021	
					Наличие разъемов для подключения внешних устройств				Да	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.10.2021	
					Объем HDD			"? 512; ? 256; ? 128; ? 100"		ГБАЙТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.10.2021	
					Объем оперативной памяти				? 4	ГБАЙТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.10.2021	
					Распознавание движений и жестов			"Да; Нет"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.10.2021	
1692	Интерактивный стол? тип 1	26.20.13.000	101	ШТ	Количество мегапикселей на экране, Мпиксель				? 2	-	Интерактивные столы	26.20.13.000-00000013	26.20.13.000-101	03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	Да
					Количество точек касания			"? 20; ? 18; ? 16; ? 14; ? 12; ? 10"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	
					Размер диагонали				? 30 и < 35	ДЮЙМ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	
					Наличие встроенной акустической системы				Да	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	
					Наличие разъемов для подключения внешних устройств				Да	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	
					Объем HDD			"? 512; ? 256; ? 128; ? 100"		ГБАЙТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	
					Объем оперативной памяти				? 4	ГБАЙТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	
					Распознавание движений и жестов			"Да; Нет"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	
1693	Интерактивный стол? тип 2	26.20.13.000	102	ШТ	Количество мегапикселей на экране, Мпиксель				? 2	-	Интерактивные столы	26.20.13.000-00000011	26.20.13.000-102	03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	Да
					Количество точек касания			"? 20; ? 18; ? 16; ? 14; ? 12; ? 10"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	
					Размер диагонали				? 40 и < 45	ДЮЙМ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	
					Наличие встроенной акустической системы				Да	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	
					Наличие разъемов для подключения внешних устройств				Да	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	
					Объем HDD			"? 512; ? 256; ? 128; ? 100"		ГБАЙТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	
					Объем оперативной памяти				? 4	ГБАЙТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	
					Распознавание движений и жестов			"Да; Нет"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2021	
1694	Системный блок тип 1	26.20.15.120	103	ШТ	Объем оперативной установленной памяти				? 4	ГБАЙТ	Системные блоки	26.20.15.000-00000025	26.20.15.120-103	03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Беспроводная связь			"Bluetooth; Wi-Fi; Не установлено"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Возможность блокировки кнопки включения системного блока			"Да; Нет"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Высота корпуса			"? 400; < 50; < 100; < 150; < 200; < 250; < 300; < 400"		ММ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Длина корпуса			"? 400; < 200; < 250; < 300; < 400"		ММ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Интерфейс накопителя SSD			"NVMe; SATA; SATANVMe"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Интерфейс слотов M.2 Key M			"PCIe и SATA3; SATA3"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Количество COM-портов			"? 1; 0"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Количество накопителей типа HDD			"? 1; 0"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Общий объем накопителей SSD форм-фактора M.2			"? 240; ? 120; 0"		ГБАЙТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Количество портов DVI-D			"? 1; 0"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Количество портов DVI-I			"? 1; 0"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Количество портов DisplayPort			"? 1; 0"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Количество портов HDMI			"? 2; ? 1"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Количество портов Mini DisplayPort			"? 1; 0"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Количество портов USB 2.0 на передней панели			"? 2; ? 1; 0"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Количество портов USB 3.2 Gen 1 (USB 3.1 Gen 1, USB 3.0) на передней панели			"? 4; ? 3; ? 2; ? 1; 0"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Количество портов USB 3.2 Gen 2 (USB 3.1 Gen 2, USB 3.1) на передней панели			"? 4; ? 3; ? 2; ? 1; 0"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Количество портов USB Type-C на передней панели			"? 1; 0"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Количество потоков процессора			"? 4; ? 2"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Количество ядер процессора			"? 4; ? 2"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Мощность блока питания			"? 400; ? 300; ? 200; ? 250; ? 40; ? 100"		ВТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Наличие встроенного картридера			"Да; Нет"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Наличие входного аудиоразъема для микрофона			"Да; Нет"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Наличие входного аудиоразъема для микрофона на передней панели			"Да; Нет"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Наличие выходного аудиоразъема			"Да; Нет"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Наличие выходного аудиоразъема на передней панели			"Да; Нет"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Наличие интегрированного звукового контроллера			"Да; Нет"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Наличие установленного дискретного графического контроллера				Нет	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Объем кэш памяти третьего уровня процессора (L3)			"? 4; 0"		МБАЙТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Объем накопителя HDD			"? 1; 0"		ТБАЙТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Общий объем накопителей SSD форм-фактора 2,5			"? 240; ? 120; 0"		ГБАЙТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Оптический привод			"DVD; DVD-RW; Не установлено"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Сетевой интерфейс 8P8C (RJ-45)			"? 1; 0"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Скорость передачи данных проводного сетевого контроллера			"? 1000; 0"		МБИТ/С				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Суммарное количество встроенных в корпус портов USB 2.0			"? 6; ? 5; ? 4; ? 3; ? 2; ? 1; 0"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Суммарное количество встроенных в корпус портов USB 3.2 Gen 1 (USB 3.1 Gen 1, USB 3.0)			"? 6; ? 5; ? 4; ? 3; ? 2; ? 1; 0"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Суммарное количество встроенных в корпус портов USB 3.2 Gen 2 (USB 3.1 Gen 2, USB 3.1)			"? 3; ? 4; ? 2; ? 1; 0"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Суммарное количество встроенных в корпус портов USB Type-C			"? 1; 0"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Тактовая частота оперативной памяти			"? 2666; ? 2400; ? 2133"		МЕГАГЦ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Тип накопителя			"HDD; SSD"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Тип оперативной памяти				DDR4	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Тип порта видеовыхода			"DVI-D; DVI-I; DisplayPort; HDMI; Mini DisplayPort; USB Type-C; VGA"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Частота процессора базовая			"? 3.7; ? 3.6; ? 3.5; ? 3.4; ? 3.3; ? 3.2; ? 3.1; ? 3; ? 2.9; ? 2.8; ? 2.7; ? 2.6; ? 2.5; ? 2.4; ? 2.3; ? 2.2; ? 2.1; ? 2; ? 1.9; ? 1.8; ? 1.7; ? 1.6; ? 1.5; ? 1.4"		ГИГАГЦ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Ширина корпуса			"< 100; < 150; < 200; < 250"		ММ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
1695	Системный блок тип 2	26.20.15.120	104	ШТ	Объем оперативной установленной памяти				? 8	ГБАЙТ	Системные блоки	26.20.15.000-00000026	26.20.15.120-104	03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Беспроводная связь			"Bluetooth; Wi-Fi; Не установлено"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Возможность блокировки кнопки включения системного блока			"Да; Нет"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Высота корпуса			"? 400; < 50; < 100; < 150; < 200; < 250; < 300; < 400"		ММ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Длина корпуса			"? 400; < 200; < 250; < 300; < 400"		ММ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Интерфейс накопителя SSD			"NVMe; SATA; SATANVMe"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Интерфейс слотов M.2 Key M			"PCIe и SATA3; SATA3"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Количество COM-портов			"? 1; 0"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Количество накопителей типа HDD			"? 1; 0"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Общий объем накопителей SSD форм-фактора M.2			"? 240; ? 120; 0"		ГБАЙТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Количество портов DVI-D			"? 1; 0"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Количество портов DVI-I			"? 1; 0"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Количество портов DisplayPort			"? 1; 0"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Количество портов HDMI				? 1	ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Количество портов Mini DisplayPort			"? 1; 0"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Количество портов USB 2.0 на передней панели			"? 2; ? 1; 0"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Количество портов USB 3.2 Gen 1 (USB 3.1 Gen 1, USB 3.0) на передней панели			"? 4; ? 3; ? 2; ? 1; 0"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Количество портов USB 3.2 Gen 2 (USB 3.1 Gen 2, USB 3.1) на передней панели			"? 4; ? 3; ? 2; ? 1; 0"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Количество портов USB Type-C на передней панели			"? 1; 0"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Количество потоков процессора			"? 8; ? 4"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Количество ядер процессора				? 4	ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Мощность блока питания			"? 400; ? 300; ? 200; ? 450; ? 250; ? 100"		ВТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Наличие встроенного картридера			"Да; Нет"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Наличие входного аудиоразъема для микрофона			"Да; Нет"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Наличие входного аудиоразъема для микрофона на передней панели			"Да; Нет"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Наличие выходного аудиоразъема			"Да; Нет"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
					Наличие выходного аудиоразъема на передней панели			"Да; Нет"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2024	
